,sentiment_label,Keyword,count
0,Negative,bad,257
1,Negative,buy,178
2,Negative,chovy,132
3,Negative,deal,257
4,Negative,doran,132
5,Negative,duo,164
6,Negative,duos,164
7,Negative,flex,164
8,Negative,games,132
9,Negative,geng,132
10,Negative,gold,252
11,Negative,good,389
12,Negative,lck,132
13,Negative,lcs,257
14,Negative,live,257
15,Negative,mastercard,178
16,Negative,money,252
17,Negative,performance,257
18,Negative,players,164
19,Negative,playing,164
20,Negative,point,252
21,Negative,pretty,257
22,Negative,price,178
23,Negative,probability,252
24,Negative,queue,296
25,Negative,rank,164
26,Negative,ranked,164
27,Negative,riot,687
28,Negative,scalpers,178
29,Negative,sold,132
30,Negative,solo,164
31,Negative,song,257
32,Negative,team,548
33,Negative,thing,178
34,Negative,ticket,178
35,Negative,tickets,310
36,Negative,time,430
37,Negative,win,252
38,Negative,work,252
39,Negative,worlds,435
40,Negative,years,252
41,Neutral,american,295
42,Neutral,canada,187
43,Neutral,card,302
44,Neutral,cards,302
45,Neutral,code,187
46,Neutral,credit,302
47,Neutral,deleted,295
48,Neutral,english,187
49,Neutral,esports,348
50,Neutral,finals,348
51,Neutral,flex,295
52,Neutral,games,223
53,Neutral,gold,223
54,Neutral,good,837
55,Neutral,idea,302
56,Neutral,isnt,348
57,Neutral,lck,295
58,Neutral,lcs,348
59,Neutral,legends,187
60,Neutral,lpl,295
61,Neutral,mastercard,302
62,Neutral,money,302
63,Neutral,player,223
64,Neutral,players,295
65,Neutral,probability,223
66,Neutral,quebec,187
67,Neutral,queue,295
68,Neutral,red,187
69,Neutral,removed,302
70,Neutral,riot,650
71,Neutral,skin,302
72,Neutral,solo,295
73,Neutral,starting,187
74,Neutral,team,1053
75,Neutral,teams,223
76,Neutral,ticket,348
77,Neutral,tickets,348
78,Neutral,time,571
79,Neutral,track,187
80,Neutral,vit,223
81,Neutral,vitality,223
82,Neutral,win,223
83,Neutral,worlds,295
84,Positive,big,65
85,Positive,card,52
86,Positive,ceremony,82
87,Positive,cool,52
88,Positive,dragons,55
89,Positive,flex,55
90,Positive,fucking,82
91,Positive,games,52
92,Positive,geng,65
93,Positive,good,254
94,Positive,great,55
95,Positive,hope,57
96,Positive,hype,112
97,Positive,imagine,55
98,Positive,jersey,65
99,Positive,lcs,57
100,Positive,linkin,82
101,Positive,live,82
102,Positive,lot,109
103,Positive,love,65
104,Positive,man,57
105,Positive,mikes,65
106,Positive,money,52
107,Positive,opening,82
108,Positive,performance,82
109,Positive,person,57
110,Positive,played,55
111,Positive,pressure,65
112,Positive,pretty,147
113,Positive,queue,55
114,Positive,riot,55
115,Positive,scene,52
116,Positive,song,82
117,Positive,subway,65
118,Positive,thing,65
119,Positive,thought,57
120,Positive,time,57
121,Positive,tsm,52
122,Positive,watching,57
123,Positive,win,55
124,Positive,work,52
125,Positive,worlds,134
126,Positive,years,57
